Wavelength,Flux,BestFit,SkyFlux
3826.484,55.313,57.067,6.864
3827.366,51.569,57.105,6.512
3828.247,59.850,56.635,6.631
3829.130,54.333,57.527,7.650
3830.011,54.771,59.152,9.477
3830.894,53.170,59.306,10.720
3831.775,53.532,57.356,10.411
3832.657,43.828,57.166,9.493
3833.540,44.842,61.260,8.745
3834.422,50.908,61.307,8.589
3835.307,51.838,56.408,8.681
3836.189,54.056,53.494,8.421
3837.073,60.230,56.957,7.774
3837.956,56.468,55.452,6.947
3838.839,52.415,57.171,6.738
3839.724,54.441,56.309,6.547
3840.608,48.769,55.861,6.196
3841.493,58.980,58.128,5.566
3842.377,55.208,57.855,5.052
3843.263,54.677,53.646,5.015
3844.147,59.743,53.618,5.623
3845.032,51.639,56.858,6.690
3845.918,42.950,57.590,7.623
3846.803,52.802,55.727,7.645
3847.690,51.234,56.792,7.041
3848.575,58.057,57.473,5.981
3849.463,57.832,55.555,5.237
3850.348,51.766,55.724,5.156
3851.234,55.052,55.640,5.660
3852.122,53.670,54.038,6.095
3853.008,48.984,54.558,6.123
3853.897,51.348,55.315,5.837
3854.783,50.982,51.531,5.273
3855.672,50.814,52.909,4.178
3856.559,56.184,56.558,3.357
3857.446,55.037,56.610,3.523
3858.336,54.281,54.931,4.347
3859.223,57.493,57.096,5.041
3860.113,57.670,58.384,5.249
3861.001,56.735,55.166,4.734
3861.892,54.855,52.838,4.190
3862.780,56.102,54.388,4.523
3863.669,62.228,55.360,5.287
3864.560,52.870,54.011,6.082
3865.449,48.488,50.940,6.083
3866.340,57.251,49.531,5.495
3867.230,52.718,51.909,4.470
3868.121,46.893,53.701,3.750
3869.011,53.122,49.733,3.773
3869.901,57.824,50.751,4.314
3870.794,52.195,50.451,5.034
3871.684,48.483,51.096,5.654
3872.577,55.265,52.576,5.779
3873.468,56.196,53.223,5.469
3874.361,61.500,52.262,4.922
3875.252,60.290,49.645,4.267
3876.144,65.177,50.906,3.833
3877.038,55.858,53.627,3.514
3877.930,54.582,54.841,3.368
3878.824,51.513,53.800,3.349
3879.716,53.063,52.004,3.416
3880.611,57.168,51.765,3.364
