Wavelength,Flux,BestFit,SkyFlux
3813.292,30.655,31.165,14.919
3814.169,27.842,32.115,14.973
3815.048,27.077,29.801,15.093
3815.926,30.041,30.950,15.273
3816.806,29.312,31.932,15.272
3817.684,25.968,32.593,15.157
3818.562,35.501,33.462,15.137
3819.443,28.011,30.126,14.986
3820.322,26.689,34.232,14.802
3821.202,24.162,33.931,14.581
3822.082,28.577,30.736,14.265
3822.963,29.597,29.787,14.077
3823.842,28.785,32.202,13.665
3824.724,28.815,33.976,13.024
3825.604,28.320,32.288,11.079
3826.484,26.699,35.565,10.865
3827.366,26.513,33.949,11.674
3828.247,34.365,29.457,14.386
3829.130,27.351,31.324,18.188
3830.011,31.808,34.100,21.740
3830.894,31.085,28.441,22.740
3831.775,32.001,26.756,21.328
3832.657,32.843,28.824,20.117
3833.540,29.199,30.643,19.186
3834.422,30.070,30.913,18.249
3835.307,34.374,30.974,16.857
3836.189,25.516,29.872,15.732
3837.073,27.001,30.894,15.684
3837.956,29.906,29.515,14.722
3838.839,32.840,27.768,13.493
3839.724,30.594,29.070,12.902
3840.608,28.750,28.277,13.397
3841.493,29.898,30.920,14.470
3842.377,30.234,34.152,15.030
3843.263,29.568,32.629,14.621
3844.147,29.680,29.001,14.106
3845.032,26.651,28.443,14.125
3845.918,28.979,28.597,14.218
3846.803,28.129,28.354,13.832
3847.690,27.396,31.480,12.804
3848.575,25.913,29.690,12.243
3849.463,23.713,29.268,12.507
3850.348,27.193,35.656,13.032
3851.234,30.696,31.363,12.463
3852.122,28.498,28.338,11.027
3853.008,28.022,26.886,9.577
3853.897,27.071,28.703,8.715
3854.783,26.975,31.086,9.422
3855.672,29.031,30.496,10.344
3856.559,27.605,30.188,10.613
3857.446,29.367,32.421,9.792
3858.336,26.577,29.842,8.251
3859.223,30.681,30.942,7.266
3860.113,34.025,31.933,7.552
3861.001,26.708,26.872,8.857
3861.892,28.673,28.560,10.345
3862.780,26.515,30.391,10.992
3863.669,31.213,29.416,10.736
3864.560,28.743,28.932,9.596
3865.449,26.283,29.474,8.342
3866.340,26.033,29.406,7.681
3867.230,26.444,29.715,8.042
3868.121,29.752,30.494,8.705
3869.011,31.385,27.442,8.561
3869.901,30.252,25.994,7.515
3870.794,34.917,27.743,6.183
3871.684,33.532,28.884,5.854
3872.577,27.742,28.191,6.018
3873.468,31.360,32.052,7.338
3874.361,27.286,31.362,8.489
3875.252,28.669,27.304,9.463
3876.144,30.896,24.621,9.759
3877.038,26.887,25.024,9.265
3877.930,24.961,26.023,8.532
3878.824,30.414,28.720,8.135
3879.716,32.232,29.024,7.785
3880.611,31.723,25.839,6.743
3881.504,32.111,24.617,6.567
3882.396,32.279,29.502,6.569
3883.292,34.734,33.070,6.830
3884.185,34.122,27.509,7.466
3885.081,31.672,25.036,7.599
3885.975,29.330,27.598,7.209
3886.871,30.014,29.649,6.957
3887.765,31.869,28.571,7.232
3888.659,29.507,30.041,7.827
3889.556,30.331,29.341,8.437
3890.451,28.571,27.471,8.337
3891.348,29.625,28.485,8.142
3892.243,31.851,30.414,7.751
3893.141,31.327,28.300,7.366
3894.036,30.075,23.975,7.296
3894.934,30.477,27.005,7.871
3895.830,32.182,29.282,8.544
3896.726,33.490,28.717,8.938
3897.625,32.245,27.485,8.880
3898.522,28.842,27.292,8.582
3899.421,30.049,27.154,8.771
3900.318,30.476,27.607,9.858
3901.217,27.356,26.663,10.423
3902.115,31.982,28.206,9.802
3903.012,32.373,29.058,9.748
3903.912,27.807,25.737,10.963
3904.810,26.948,26.389,13.194
